Date,Time,Vrms,Irms,Temp
15/09/2025,11:22:41 a. m.,224.23,29.67,0.7
15/09/2025,11:22:10 a. m.,225.29,29.99,0.7
15/09/2025,11:21:50 a. m.,226.1,29.87,0.7
15/09/2025,11:21:27 a. m.,224.86,29.17,0.7
15/09/2025,11:21:08 a. m.,226.11,29.45,0.7
15/09/2025,11:20:39 a. m.,226.09,29.32,0.7
15/09/2025,11:20:20 a. m.,224.36,29.55,0.7
15/09/2025,11:19:57 a. m.,224.68,30.41,0.7
15/09/2025,11:19:37 a. m.,223.72,29.97,0.7
15/09/2025,11:19:17 a. m.,226.41,29.31,0.7
15/09/2025,11:18:53 a. m.,223.68,29.99,0.7
15/09/2025,11:18:34 a. m.,226.78,30.92,0.7
15/09/2025,11:18:13 a. m.,224.99,30.06,0.7
15/09/2025,11:17:53 a. m.,226.17,29.82,0.7
15/09/2025,11:17:34 a. m.,224.93,30.44,0.7
15/09/2025,11:17:09 a. m.,224.73,29.11,0.7
15/09/2025,11:16:47 a. m.,223.72,29.47,0.7
15/09/2025,11:16:27 a. m.,223.05,29.45,0.7
15/09/2025,11:16:07 a. m.,223.54,29.54,0.7
15/09/2025,11:15:47 a. m.,223.83,30.22,0.7
15/09/2025,11:15:28 a. m.,224.12,29.95,0.7
15/09/2025,11:15:08 a. m.,224.38,29.58,0.7
15/09/2025,11:14:45 a. m.,225.32,29.27,0.7
15/09/2025,11:14:26 a. m.,223.71,29.47,0.7
15/09/2025,11:14:06 a. m.,224.71,30.23,0.7
15/09/2025,11:13:44 a. m.,225.47,29.2,0.7
15/09/2025,11:13:25 a. m.,225.03,28.74,0.7
15/09/2025,11:13:05 a. m.,225.2,30.02,0.7
15/09/2025,11:12:44 a. m.,224.74,29.59,0.7
15/09/2025,11:12:24 a. m.,225.19,30.09,0.7
15/09/2025,11:12:02 a. m.,225.4,29.09,0.7
15/09/2025,11:11:44 a. m.,225.75,30.15,0.7
15/09/2025,11:11:22 a. m.,224.37,30.57,0.7
15/09/2025,11:11:01 a. m.,225.5,30.02,0.7
15/09/2025,11:10:42 a. m.,225.24,29.58,0.7
15/09/2025,11:10:22 a. m.,226.94,30.22,0.7
15/09/2025,11:09:58 a. m.,224.83,29.9,0.7
15/09/2025,11:09:39 a. m.,226.73,29.11,0.7
15/09/2025,11:09:17 a. m.,225.7,29.25,0.7
15/09/2025,11:08:57 a. m.,224.74,29.98,0.7
15/09/2025,11:08:36 a. m.,224.93,29.93,0.7
15/09/2025,11:08:16 a. m.,226.46,30.33,0.7
15/09/2025,11:07:56 a. m.,225.55,29.28,0.7
15/09/2025,11:07:37 a. m.,225.6,30.15,0.7
15/09/2025,11:07:15 a. m.,224.74,29.14,0.7
15/09/2025,11:06:54 a. m.,225.81,29.55,0.7
15/09/2025,11:06:34 a. m.,226.59,29.82,0.7
15/09/2025,11:06:11 a. m.,225.68,29.85,0.7
15/09/2025,11:05:51 a. m.,224.18,28.09,0.7
15/09/2025,11:05:32 a. m.,225.04,29.89,0.7
15/09/2025,11:05:12 a. m.,225.76,30.64,0.7
15/09/2025,11:04:52 a. m.,224.55,30.2,0.7
15/09/2025,11:04:29 a. m.,224.77,105.14,0.65
15/09/2025,11:04:10 a. m.,225.48,106.45,0.65
15/09/2025,11:03:11 a. m.,226.98,106.29,0.65
15/09/2025,11:02:28 a. m.,225.18,107.67,0.65
15/09/2025,11:02:07 a. m.,226.72,108.44,0.65
15/09/2025,11:01:47 a. m.,224.8,107.18,0.65
15/09/2025,11:01:27 a. m.,223.24,105.89,0.65
15/09/2025,11:01:07 a. m.,224.69,106.18,0.65
